year,abbr,pres_margin,pres_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str,electoral_votes
1976,UT,-0.299601167651889,R+30.0,-0.3223481512067478,R+32.2,0.0227469835548588,D+2.3,4
1980,UT,-0.5593037008403182,R+55.9,-0.4561525254518718,R+45.6,-0.1031511753884464,R+10.3,4
1984,UT,-0.502400420193635,R+50.2,-0.319933396353141,R+32.0,-0.1824670238404939,R+18.2,5
1988,UT,-0.3477574966380144,R+34.8,-0.2711083908606678,R+27.1,-0.0766491057773465,R+7.7,5
1992,UT,-0.2750715822796066,R+27.5,-0.3474854990426803,R+34.7,0.0724139167630737,D+7.2,5
1996,UT,-0.2403897563851226,R+24.0,-0.3364702369021267,R+33.6,0.096080480517004,D+9.6,5
2000,UT,-0.4345101086264828,R+43.5,-0.4396435669959633,R+44.0,0.0051334583694805,D+0.5,5
2004,UT,-0.4669287832024408,R+46.7,-0.4422684830788932,R+44.2,-0.0246603001235475,R+2.5,5
2008,UT,-0.2905272274548013,R+29.1,-0.3659425730264068,R+36.6,0.0754153455716054,D+7.5,5
2012,UT,-0.4925237779029496,R+49.3,-0.5327216438873983,R+53.3,0.0401978659844485,D+4.0,6
2016,UT,-0.2476579669082257,R+24.8,-0.2709092467149469,R+27.1,0.0232512798067211,D+2.3,6
2020,UT,-0.2138721024370326,R+21.4,-0.2592318448596066,R+25.9,0.0453597424225739,D+4.5,6
2024,UT,-0.222106992333986,R+22.2,-0.2071103008997858,R+20.7,-0.0149966914342001,R+1.5,6
2028,UT,-0.3341680851856077,R+33.4,-0.3682972684421946,R+36.8,0.03412918325658693,D+3.4,6
2032,UT,-0.056259984514913056,R+5.6,-0.07218622470056905,R+7.2,0.015926240185656002,D+1.6,6
2036,UT,-0.14295252773166656,R+14.3,-0.1493180873072343,R+14.9,0.006365559575567741,D+0.6,6
2040,UT,-0.27176010370427117,R+27.2,-0.2764862850922,R+27.6,0.004726181387928875,D+0.5,6
