year,abbr,relative_margin
2060,MD,0.2349792965489016
2064,MD,0.20979584935575327
2068,MD,0.18062701517405483
2072,MD,0.21789363620123783
2076,MD,0.22717887608558593
2080,MD,0.23473487422327824
2084,MD,0.26358860460472655
2088,MD,0.23815805911751442
2092,MD,0.26756006675819527
2096,MD,0.2545347722783406
2100,MD,0.2969576415684028
2024,ME,0.0858828078336893
2028,ME,0.14467628017950815
2032,ME,0.060489217184057364
2036,ME,0.050136592791912606
2040,ME,0.04273791083766473
2044,ME,0.08674304454460167
2048,ME,0.05231920735978674
2052,ME,0.19337263586778786
2056,ME,-0.0923171204779547
2060,ME,0.0014556481089930198
2064,ME,0.06922797858223279
2068,ME,0.16641496586374244
2072,ME,0.19672767814210276
2076,ME,0.12810731886568558
2080,ME,0.15489728814138343
2084,ME,-0.12145908991640193
2088,ME,-0.023219578163487527
2092,ME,-0.1371189004018829
2096,ME,-0.10205447381749089
2100,ME,0.013890011291280709
2024,MI,0.0005719548558608
2028,MI,0.026679100202404358
2032,MI,0.025558332462461284
2036,MI,-0.001759893945115671
2040,MI,0.010620466932510422
2044,MI,-0.003948706908962933
2048,MI,-0.033583122360120295
2052,MI,-0.007746527487844013
2056,MI,-0.0016838332349542742
2060,MI,-0.03660749449111503
2064,MI,0.021026789098690185
2068,MI,-0.02333103817120692
2072,MI,-0.03947193193523829
2076,MI,-0.017322495410520437
2080,MI,0.039749942330155
2084,MI,0.0573695172381605
2088,MI,0.04421705638558936
2092,MI,0.07431342533259565
2096,MI,0.046034355102128915
2100,MI,0.05455923762866894
2024,MN,0.0584307349560897
2028,MN,0.07898355436446995
2032,MN,0.10697314096576276
2036,MN,0.16519244363625565
2040,MN,0.17466795241596553
2044,MN,0.1482683723572857
2048,MN,0.14434137708443168
2052,MN,0.106770975047978
2056,MN,0.11879607957350974
2060,MN,0.10254444393173515
2064,MN,0.13597510101696014
2068,MN,0.08102302901959954
2072,MN,0.07386686431621237
2076,MN,0.10212137449508175
2080,MN,0.09830847868707161
2084,MN,0.03550836621853746
2088,MN,-0.01674945952578945
2092,MN,-0.030265766730263672
2096,MN,-0.03301308364787249
2100,MN,-0.026027700602056437
2024,MO,-0.1717505148274316
2028,MO,-0.058050419053405695
2032,MO,0.004828484639759227
2036,MO,0.016304916193893605
2040,MO,0.03358694231811075
2044,MO,-0.07306460433305441
2048,MO,-0.10392810104622446
2052,MO,-0.06792842733727622
2056,MO,-0.07351097372881886
2060,MO,-0.12218564676476804
2064,MO,-0.09676691559855985
2068,MO,-0.10112289488119718
2072,MO,-0.11392878515954995
2076,MO,-0.13240195966339266
2080,MO,-0.14613764508562208
2084,MO,-0.13169246599582046
2088,MO,-0.12415147721483376
2092,MO,-0.15607707507792365
2096,MO,-0.13456784900976718
2100,MO,-0.06757218253805274
2024,MS,-0.2164535906776367
2028,MS,-0.19193237268600824
2032,MS,-0.1107621587005018
2036,MS,-0.09739362174127145
2040,MS,-0.08095015823971378
2044,MS,-0.14321914167638822
2048,MS,-0.07567230658338123
2052,MS,-0.08505164063149866
2056,MS,-0.11178794861240067
2060,MS,-0.08403930623270327
2064,MS,-0.11378796357962154
2068,MS,-0.13515337069743366
2072,MS,-0.16093145049653246
2076,MS,-0.22136982643389164
2080,MS,-0.20016107126454302
2084,MS,-0.15227141950547504
2088,MS,-0.18743591889983546
2092,MS,-0.18980007343074834
2096,MS,-0.20424837145004027
2100,MS,-0.18540188531146462
2024,MT,-0.1907842789674368
2028,MT,-0.19248373639572183
2032,MT,-0.15061053303557245
2036,MT,-0.1102898933033945
2040,MT,-0.18416253316208053
2044,MT,-0.10207710623336937
2048,MT,-0.20856081051808803
2052,MT,-0.060817962582730666
2056,MT,-0.10908959245843312
2060,MT,-0.09791730144071967
2064,MT,-0.07236694090040409
2068,MT,-0.10264111372325062
2072,MT,-0.12492590704713492
2076,MT,-0.1687294648595283
2080,MT,-0.2594952584824201
2084,MT,-0.22177019331505363
2088,MT,-0.17463666235566863
2092,MT,-0.2274600273126434
2096,MT,-0.179065944022161
2100,MT,-0.14929706298664275
2024,NC,-0.0176101105918079
2028,NC,-0.005609403520449452
2032,NC,0.0021540028621223795
2036,NC,-0.05255839585907956
2040,NC,-0.022621620832896632
2044,NC,-0.029536529281920694
2048,NC,-0.02546890194673599
2052,NC,-0.05929757109425945
2056,NC,-0.06902763279501996
2060,NC,-0.08297999360426005
2064,NC,-0.08184278115749086
2068,NC,-0.07483213537275064
2072,NC,-0.04309516503559676
2076,NC,-0.04295759088374578
2080,NC,-0.04490532090627079
2084,NC,-0.01219281321600827
2088,NC,-0.00716853168141749
2092,NC,-0.06471247517793087
2096,NC,-0.07590018240086953
2100,NC,-0.07059614765663129
2024,ND,-0.3589331698936636
2028,ND,-0.20146724121311554
2032,ND,-0.2436412783944254
2036,ND,-0.051813442669996254
2040,ND,-0.13937582958450903
2044,ND,-0.22576741501923342
2048,ND,-0.12310819352151486
2052,ND,-0.1737474488310166
2056,ND,-0.0948154736510361
2060,ND,-0.2727543059213988
2064,ND,-0.19300284650079205
2068,ND,-0.3349638462418798
2072,ND,-0.10496555796759428
2076,ND,-0.13695842821186735
2080,ND,-0.06788889004200768
2084,ND,-0.13522434915956077
2088,ND,-0.4190780511510921
2092,ND,-0.387773818860789
2096,ND,-0.38091205583085697
2100,ND,-0.4294314750298094
2024,NE,-0.1934101416047778
2028,NE,-0.12167840501840595
