year,abbr,D_votes,R_votes,house_margin,house_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str
1992,MI,1913175,1855241,0.015373568098638792,D+1.5,-0.037967572863149265,R+3.8,0.053341140961788054,D+5.3
1994,MI,1418142,1532084,-0.03862144798398495,R+3.9,0.04596213652220994,D+4.6,-0.0845835845061949,R+8.5
1996,MI,1945116,1678735,0.07350771320344021,D+7.4,0.07154175081607311,D+7.2,0.0019659623873670975,D+0.2
1998,MI,1469111,1438283,0.010603310043289627,D+1.1,0.03578408770188987,D+3.6,-0.02518077765860024,R+2.5
2000,MI,2177618,1786980,0.098531553514379,D+9.9,0.11564090003746416,D+11.6,-0.017109346523085163,R+1.7
2002,MI,1507174,1474178,0.011067462010524085,D+1.1,0.07717350397596619,D+7.7,-0.0661060419654421,R+6.6
2004,MI,2242435,2288594,-0.010187310652834047,R+1.0,0.030698780682360184,D+3.1,-0.04088609133519423,R+4.1
2006,MI,1923485,1624865,0.0841574252821734,D+8.4,0.010649193358580375,D+1.1,0.07350823192359303,D+7.4
2008,MI,2516640,2114293,0.0868824921457512,D+8.7,-0.01135938648578004,R+1.1,0.09824187863153123,D+9.8
2010,MI,1415212,1671707,-0.08309093954198345,R+8.3,-0.011230732387257525,R+1.1,-0.07186020715472592,R+7.2
2012,MI,2327985,2086804,0.05463024393691295,D+5.5,0.05024553252864897,D+5.0,0.004384711408263983,D+0.4
2014,MI,1519030,1466749,0.017510003252082622,D+1.8,0.0892178369093228,D+8.9,-0.07170783365724019,R+7.2
2016,MI,2193980,2243402,-0.011137648279999333,R+1.1,0.0035260006681383307,D+0.4,-0.014663648948137663,R+1.5
2018,MI,2175003,1853459,0.07981805463226413,D+8.0,0.005351814001650315,D+0.5,0.07446624063061381,D+7.4
2020,MI,2688527,2617881,0.013313337383782023,D+1.3,-0.014822108215330346,R+1.5,0.02813544559911237,D+2.8
2022,MI,2184504,2083361,0.023698734613208244,D+2.4,0.05625216137599523,D+5.6,-0.03255342676278699,R+3.3
1976,MN,1039999,729577,0.175421682934217,D+17.5,0.03450798783788553,D+3.5,0.14091369509633148,D+14.1
1978,MN,779286,709387,0.04695389786742958,D+4.7,-0.04193285321429327,R+4.2,0.08888675108172285,D+8.9
1980,MN,905793,987147,-0.04297759041491014,R+4.3,-0.06989175811605558,R+7.0,0.02691416770114545,D+2.7
1982,MN,956321,777584,0.10308350226800199,D+10.3,-0.017676469090560754,R+1.8,0.12075997135856274,D+12.1
1984,MN,1060800,902268,0.08075726363019518,D+8.1,0.028405045361016498,D+2.8,0.052352218269178685,D+5.2
1986,MN,831715,557741,0.19718076714915767,D+19.7,0.09621940251388078,D+9.6,0.10096136463527688,D+10.1
1988,MN,0,809624,-1.0,R+100.0,-1.0669088792635897,R+106.7,0.06690887926358961,D+6.7
1990,MN,0,736497,-1.0,R+100.0,-1.067284783806358,R+106.7,0.06728478380635798,D+6.7
1994,MN,0,846950,-1.0,R+100.0,-0.9154164154938051,R+91.5,-0.0845835845061949,R+8.5
1996,MN,1179862,894908,0.1373424524164124,D+13.7,0.1353764900290453,D+13.5,0.0019659623873670975,D+0.2
1998,MN,0,862972,-1.0,R+100.0,-0.9748192223413997,R+97.5,-0.02518077765860024,R+2.5
2000,MN,0,993371,-1.0,R+100.0,-0.9828906534769148,R+98.3,-0.017109346523085163,R+1.7
2002,MN,0,1029612,-1.0,R+100.0,-0.9338939580345579,R+93.4,-0.0661060419654421,R+6.6
2004,MN,0,1236094,-1.0,R+100.0,-0.9591139086648057,R+95.9,-0.04088609133519423,R+4.1
2006,MN,531930,924636,-0.26961085182545796,R+27.0,-0.343119083749051,R+34.3,0.07350823192359303,D+7.4
2008,MN,0,1069015,-1.0,R+100.0,-1.0982418786315313,R+109.8,0.09824187863153123,D+9.8
2010,MN,676131,970741,-0.17889064845355315,R+17.9,-0.10703044129882723,R+10.7,-0.07186020715472592,R+7.2
2012,MN,869789,1210409,-0.16374402821269898,R+16.4,-0.16812873962096297,R+16.8,0.004384711408263983,D+0.4
2014,MN,296169,913539,-0.5103462984455753,R+51.0,-0.4386384647883351,R+43.9,-0.07170783365724019,R+7.2
2016,MN,974996,1334679,-0.15572883630813858,R+15.6,-0.14106518736000093,R+14.1,-0.014663648948137663,R+1.5
2018,MN,0,1125533,-1.0,R+100.0,-1.0744662406306138,R+107.4,0.07446624063061381,D+7.4
2020,MN,1097777,1474820,-0.1465612375354554,R+14.7,-0.1746966831345678,R+17.5,0.02813544559911237,D+2.8
2022,MN,778745,1200855,-0.21322994544352394,R+21.3,-0.18067651868073695,R+18.1,-0.03255342676278699,R+3.3
1976,MO,1080807,812238,0.14187142936380276,D+14.2,0.000957734267471283,D+0.1,0.14091369509633148,D+14.1
1978,MO,966553,575578,0.25352904519784636,D+25.4,0.16464229411612352,D+16.5,0.08888675108172285,D+8.9
1980,MO,1110060,940510,0.08268432679693939,D+8.3,0.05577015909579394,D+5.6,0.02691416770114545,D+2.7
1982,MO,871682,653468,0.14307707438612596,D+14.3,0.02231710302756322,D+2.2,0.12075997135856274,D+12.1
1984,MO,1129689,903027,0.11150696900108033,D+11.2,0.05915475073190164,D+5.9,0.052352218269178685,D+5.2
1986,MO,828403,599520,0.16029085601954726,D+16.0,0.05932949138427038,D+5.9,0.10096136463527688,D+10.1
1988,MO,1148292,909599,0.11598913645086159,D+11.6,0.04908025718727198,D+4.9,0.06690887926358961,D+6.7
1990,MO,727950,624602,0.0764096315705422,D+7.6,0.009124847764184221,D+0.9,0.06728478380635798,D+6.7
1992,MO,1269486,1036268,0.10114608930527715,D+10.1,0.04780494834348909,D+4.8,0.053341140961788054,D+5.3
1994,MO,894783,834456,0.03488644426825904,D+3.5,0.11947002877445394,D+11.9,-0.0845835845061949,R+8.5
1996,MO,1116201,833190,0.1451791867306251,D+14.5,0.143213224343258,D+14.3,0.0019659623873670975,D+0.2
1998,MO,787655,748432,0.025534361009500114,D+2.6,0.05071513866810036,D+5.1,-0.02518077765860024,R+2.5
2000,MO,1136020,1135724,0.00013029637142213208,D+0.0,0.017239642894507294,D+1.7,-0.017109346523085163,R+1.7
2002,MO,829177,985905,-0.08634761404718905,R+8.6,-0.020241572081746942,R+2.0,-0.0661060419654421,R+6.6
2004,MO,1192674,1429767,-0.09040927898854541,R+9.0,-0.049523187653351175,R+5.0,-0.04088609133519423,R+4.1
2006,MO,992258,1049346,-0.02796232766001634,R+2.8,-0.10147055958360937,R+10.1,0.07350823192359303,D+7.4
2008,MO,1413016,1313018,0.03668259456778602,D+3.7,-0.061559284063745216,R+6.2,0.09824187863153123,D+9.8
2010,MO,708064,1103290,-0.21819368273678144,R+21.8,-0.1463334755820555,R+14.6,-0.07186020715472592,R+7.2
2012,MO,1119554,1463586,-0.13318364471147517,R+13.3,-0.13756835611973917,R+13.8,0.004384711408263983,D+0.4
2014,MO,513600,838283,-0.24017093195195147,R+24.0,-0.1684630982947113,R+16.8,-0.07170783365724019,R+7.2
2016,MO,1041306,1600524,-0.21167826847299032,R+21.2,-0.19701461952485266,R+19.7,-0.014663648948137663,R+1.5
2018,MO,1027969,1330975,-0.1284498487458795,R+12.8,-0.2029160893764933,R+20.3,0.07446624063061381,D+7.4
2020,MO,1172135,1723982,-0.1905472051025563,R+19.1,-0.21868265070166867,R+21.9,0.02813544559911237,D+2.8
2022,MO,794978,1223617,-0.2123452203141294,R+21.2,-0.1797917935513424,R+18.0,-0.03255342676278699,R+3.3
1976,MS,375328,256608,0.18786712578488962,D+18.8,0.046953430688558145,D+4.7,0.14091369509633148,D+14.1
1978,MS,251558,236274,0.031330458026533725,D+3.1,-0.057556293055189126,R+5.8,0.08888675108172285,D+8.9
1980,MS,427773,304472,0.16838762982335148,D+16.8,0.14147346212220602,D+14.1,0.02691416770114545,D+2.7
1982,MS,368403,259553,0.1733401703304053,D+17.3,0.05258019897184256,D+5.3,0.12075997135856274,D+12.1
1984,MS,523161,326826,0.23098588566648667,D+23.1,0.178633667397308,D+17.9,0.052352218269178685,D+5.2
1986,MS,315526,208037,0.20530289573556573,D+20.5,0.10434153110028885,D+10.4,0.10096136463527688,D+10.1
1988,MS,606715,307555,0.3272118739540836,D+32.7,0.26030299469049395,D+26.0,0.06690887926358961,D+6.7
1990,MS,299286,69216,0.624338538189752,D+62.4,0.5570537543833941,D+55.7,0.06728478380635798,D+6.7
1992,MS,669582,273234,0.4203874350880766,D+42.0,0.36704629412628853,D+36.7,0.053341140961788054,D+5.3
1994,MS,354487,256424,0.1605192900438853,D+16.1,0.24510287455008017,D+24.5,-0.0845835845061949,R+8.5
1996,MS,397410,487988,-0.10230201559072868,R+10.2,-0.10426797797809578,R+10.4,0.0019659623873670975,D+0.2
1998,MS,262635,232415,0.06104433895566105,D+6.1,0.08622511661426129,D+8.6,-0.02518077765860024,R+2.5
2000,MS,495687,468483,0.02821494134851738,D+2.8,0.045324287871602545,D+4.5,-0.017109346523085163,R+1.7
2002,MS,320157,338817,-0.02831674694297499,R+2.8,0.03778929502246711,D+3.8,-0.0661060419654421,R+6.6
2004,MS,334605,658589,-0.32620414541368553,R+32.6,-0.2853180540784913,R+28.5,-0.04088609133519423,R+4.1
2006,MS,260330,304308,-0.07788707100832747,R+7.8,-0.1513953029319205,R+15.1,0.07350823192359303,D+7.4
2008,MS,731805,527330,0.1623932302731637,D+16.2,0.06415135164163248,D+6.4,0.09824187863153123,D+9.8
2010,MS,350695,423579,-0.09413205144432074,R+9.4,-0.02227184428959482,R+2.2,-0.07186020715472592,R+7.2
2012,MS,411398,703635,-0.26208820725485255,R+26.2,-0.2664729186631165,R+26.6,0.004384711408263983,D+0.4
2014,MS,230014,329169,-0.1773211989634878,R+17.7,-0.10561336530624761,R+10.6,-0.07170783365724019,R+7.2
2016,MS,449896,680810,-0.20422107957329313,R+20.4,-0.18955743062515548,R+19.0,-0.014663648948137663,R+1.5
2018,MS,398770,471162,-0.08321569961790116,R+8.3,-0.15768194024851498,R+15.8,0.07446624063061381,D+7.4
2020,MS,421014,806832,-0.31422344495970994,R+31.4,-0.3423588905588223,R+34.2,0.02813544559911237,D+2.8
2022,MS,251202,454329,-0.28790655548799415,R+28.8,-0.25535312872520716,R+25.5,-0.03255342676278699,R+3.3
1976,MT,180459,140446,0.12468799177326623,D+12.5,-0.01622570332306525,R+1.6,0.14091369509633148,D+14.1
1978,MT,143496,139859,0.01283548905083729,D+1.3,-0.07605126203088557,R+7.6,0.08888675108172285,D+8.9
1980,MT,176236,162305,0.04115011180329709,D+4.1,0.014235944102151642,D+1.4,0.02691416770114545,D+2.7
1982,MT,165902,142370,0.07633518451237868,D+7.6,-0.04442478684618406,R+4.4,0.12075997135856274,D+12.1
1984,MT,187443,178726,0.023805947526961593,D+2.4,-0.028546270742217092,R+2.9,0.052352218269178685,D+5.2
1986,MT,172084,145778,0.08275918480346817,D+8.3,-0.018202179831808718,R+1.8,0.10096136463527688,D+10.1
1988,MT,193347,171870,0.058806134435144035,D+5.9,-0.008102744828445578,R+0.8,0.06690887926358961,D+6.7
1990,MT,157148,160286,-0.009885519509567344,R+1.0,-0.07717030331592532,R+7.7,0.06728478380635798,D+6.7
1992,MT,203711,189570,0.03595647895525082,D+3.6,-0.01738466200653723,R+1.7,0.053341140961788054,D+5.3
